XCOORD,YCOORD
-76.461670,37.155829
-76.463630,37.160580
-76.463700,37.160625
-76.466280,37.165734
-76.473110,37.171084
-76.474940,37.172970
-76.463040,37.185219
-76.462020,37.186441
-76.479060,37.177412
-76.487480,37.190178
-76.490130,37.194526
-76.492630,37.197455
-76.515200,37.223800
-76.547770,37.232003
-76.641028,37.262919
-76.660800,37.251091
-76.675320,37.265717
-76.677400,37.269100
-76.679600,37.271900
-76.661700,37.250556
-76.659490,37.248120
-76.658000,37.246363
-76.655650,37.243575
-76.650300,37.240100
-76.647900,37.239550
-76.636660,37.236894
-76.632980,37.236098
-76.616012,37.210063
-76.598908,37.207875
-76.682430,37.246918
-76.702140,37.248471
-76.727640,37.250503
-76.731340,37.254214
-76.738300,37.259962
-76.741940,37.259525
-76.765690,37.252140
-76.762950,37.239542
-76.786930,37.253868
-76.821198,37.255637
-76.861727,37.261470
-76.805002,37.263178
-76.758130,37.268576
-76.759520,37.269528
-76.757780,37.269975
-76.755112,37.271277
-76.752210,37.272851
-76.749208,37.275027
-76.747510,37.276298
-76.745303,37.276633
-76.420380,37.276545
-76.738710,37.276049
-76.724920,37.279682
-76.739090,37.274332
-76.738053,37.279410
-76.734080,37.288585
-76.744000,37.298429
-76.746060,37.299129
-76.749707,37.301155
-76.752150,37.306498
-76.685200,37.301996
-76.686610,37.295911
-76.700860,37.284291
-76.716280,37.285153
-76.729750,37.312985
-76.732460,37.312597
-76.733510,37.316107
-76.735270,37.318957
-76.736030,37.320682
-76.737483,37.336462
-76.738387,37.339922
-76.739948,37.342408
-76.739580,37.344143
-76.745120,37.345481
-76.749500,37.335881
-76.751440,37.337319
-76.757601,37.337975
-76.752950,37.338815
-76.754320,37.340380
-76.760040,37.346940
-76.767780,37.365133
-76.773710,37.370940
-76.777650,37.373178
-76.766530,37.381932
-76.808570,37.401710
-76.822250,36.709747
-76.822250,36.709747
-76.894850,36.692589
-76.912720,36.683584
-76.714980,36.801309
-76.726540,36.804105
-76.732490,36.805371
-76.741430,36.807231
-76.744100,36.808318
-76.750740,36.812491
-76.843356,36.776187
-76.856187,36.766173
-76.586350,36.937994
-76.596800,36.949315
-76.601050,36.954570
-76.602520,36.956662
-76.605860,36.961534
-76.609780,36.972986
-76.586510,36.975914
-76.631000,36.982366
-76.629430,36.990752
-76.676720,37.066250
-76.640760,36.977250
-76.556960,36.943055
-76.526200,36.956185
