DIST,COUNTY,GPS_LAT,GPS_LONG,APPROACH1,APPROACH2,APPROACH3,APPROACH4
7,MERCER,37.7459739584,-84.8419701314,084 US-127,084 US-127,084 CARDINAL DR,084 HARRODSBURG MARKETPLACE
7,MERCER,37.7538410053,-84.846298732,084 US-127,084 US-127,084 LINDEN DRIVE,084 CHESTNUT ST
7,MERCER,37.7443208549,-84.8410513339,084 US-127,084 US-127,084 JOSEPH DR,
7,MERCER,37.7600032708,-84.8222381856,084 US-127B,084 US-127B,084 KY-152,084 KY-152
7,MERCER,37.7623378177,-84.8432838338,084 US-68,084 US-68,084 MAIN ST,084 MAIN ST
7,MERCER,37.7717264427,-84.8263330295,084 US-68,084 US-68,084 US-127B,084 US-127B
7,MERCER,37.7622628483,-84.8421825218,084 US-68,084 US-68,084 GREENVILLE ST,084 GREENVILLE ST
7,MERCER,37.7584945131,-84.8460195294,084 US-68,084 US-68,084 US-127,084 MOORELAND AVE
7,MERCER,37.7625026217,-84.8456384982,084 US-68,084 US-68,084 US-127,084 LEXINGTON ST
7,MONTGOMERY,38.0410560833,-83.948006763,087 KY-11,087 KY-11,087 KY-686,087 KY-686
7,MONTGOMERY,38.0655241533,-83.9552412009,087 KY-686,087 KY-686,087 ALEXA DR, 
7,MONTGOMERY,38.0710455597,-83.9551061619,087 KY-686,087 KY-686,087 PATSY WAY,087 WALMART
7,MONTGOMERY,38.0580537083,-83.9561034734,087 KY-686,087 KY-686,087 KY-713,087 KY-713
7,MONTGOMERY,38.0618841495,-83.9554944246,087 KY-686,087 KY-686,087 MAPLETON ELEMENTARY,087 KROGER
7,MONTGOMERY,38.0715291772,-83.9167821375,087 KY-686,087 KY-686,087 OLD OWINGSVILLE RD,087 OLD OWINGSVILLE RD
7,MONTGOMERY,38.0673409036,-83.955424224,087 KY-686,087 KY-686,087 TERRY DR,087 WALMART
7,MONTGOMERY,38.0559125523,-83.938729318,087 KY-713,087 QUEEN ST,087 QUEEN ST,087 LOCUST
7,MONTGOMERY,38.0740988881,-83.9483288176,087 US-460,087 US-460,087 KY-686, 
7,MONTGOMERY,38.0575467705,-83.9424663956,087 US-460,087 US-460,087 HIGH ST,087 HIGH ST
7,MONTGOMERY,38.0755515364,-83.9488437391,087 US-460,087 US-460,087 EVANS AVE,087 FALCON DR
7,MONTGOMERY,38.0706589509,-83.946951091,087 US-460,087 US-460,087 CULPEPPER AVE, 
7,MONTGOMERY,38.0549611149,-83.9428712159,087 US-460,087 US-460,087 LOCUST,087 LOCUST
7,MONTGOMERY,38.0502487084,-83.9415242551,087 US-460,087 US-460,087 KY-11, 
7,MONTGOMERY,38.0421462237,-83.934314818,087 US-460,087 US-460,087 KY-686,087 KY-686
7,MONTGOMERY,38.0769404617,-83.9491423618,087 US-460,087 US-460,087 I-64,
7,MONTGOMERY,38.0557644431,-83.9450001144,087 US-60,087 US-60,087 SYCAMORE,087 SYCAMORE
7,MONTGOMERY,38.0570875597,-83.9391367942,087 US-60,087 US-60,087 QUEEN ST,087 QUEEN ST
7,MONTGOMERY,38.0748358182,-83.9187330364,087 US-60,087 US-60,087 KY-686,087 MIDLAND TRL
7,MONTGOMERY,38.0561430834,-83.9432858807,087 US-60,087 US-60,087 US-460,087 BANK ST
7,MONTGOMERY,38.0564059584,-83.9420667165,087 US-60,087 US-60,087 US-460,087 MAYSVILLE ST
7,MONTGOMERY,38.0894673094,-83.8980587811,087 US-60,087 US-60,087 I-64 RAMP, 
7,MONTGOMERY,38.0872810443,-83.8990853953,087 US-60,087 US-60,087 I-64 RAMP, 
7,MONTGOMERY,38.0538298416,-83.9564906688,087 US-60,087 US-60,087 KY-686,087 KY-686
7,SCOTT,38.2284013961,-84.5349564824,105 KY-2906,105 KY-2906,105 MAGNOLIA DR,105 LOWES
7,SCOTT,38.2196146768,-84.5352010679,105 KY-2906,105 KY-2906,105 THOROUGHBRED CENTER, 
7,SCOTT,38.2570333022,-84.5276167013,105 KY-3487,105 KY-3487,105 TOYOTA GATE #1, 
7,SCOTT,38.2612850796,-84.5282199738,105 KY-3487,105 KY-3487,105 TOYOTA GATE #2, 
7,SCOTT,38.2657142871,-84.5288218496,105 KY-3487,105 KY-3487,105 TOYOTA GATE #3,105 TOYOTA SERVICE ROAD
7,SCOTT,38.2710680135,-84.5359239436,105 KY-620,105 KY-620,105 GATE 4,105 INDUSTRY RD
7,SCOTT,38.27126313,-84.5408459198,105 KY-620,105 KY-620,105 GATE 5,105 SIMS RD
7,SCOTT,38.2720896149,-84.5455440371,105 KY-620,105 KY-620,105 NORFOLK SOUTHERN, 
7,SCOTT,38.2750000365,-84.5534370915,105 KY-620,105 KY-620,105 TRIPORT RD,105 TRIPORT RD
7,SCOTT,38.2758522791,-84.5560270686,105 KY-620,105 KY-620,105 I-75 RAMP, 
7,SCOTT,38.276749388,-84.5587414592,105 KY-620,105 KY-620,105 I-75 RAMP, 
7,SCOTT,38.2483894681,-84.5346731274,105 TOYOTA,105 TOYOTA,105 INSIDE GATE 7,
7,SCOTT,38.2784129061,-84.5681738951,105 US-25,105 US-25,105 KY-620, 
7,SCOTT,38.2067957635,-84.5600914583,105 US-25,105 US-25,105 JACKSON ST,105 JACKSON ST
7,SCOTT,38.209946826,-84.5598055839,105 US-25,105 US-25,105 US-460,105 US-460
7,SCOTT,38.2115986771,-84.5596594828,105 US-25,105 US-25,105 WASHINGTON ST,105 WASHINGTON ST
7,SCOTT,38.1870333025,-84.5625999982,105 US-25,105 US-25,105 BEST HARDWARE,GEORGETOWN HOSPITAL
7,SCOTT,38.1965108492,-84.5612404196,105 US-25,105 US-25,105 POCAHONTAS TRAIL, 
7,SCOTT,38.1987324974,-84.560894818,105 US-25,105 US-25,105 HIAWATHA TRAIL, 
