MUTCD_CD,SIGNDESCRI,CARDINAL_D,ASSEMBLY_I,MILEPOINT,ROUTE_ID,XCOORD,YCOORD
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299507,1.784000000000000,055-KY-0290  -000,-83.972299,37.342500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299505,1.939000000000000,055-KY-0290  -000,-83.970888,37.344400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299553,2.597000000000000,055-KY-0290  -000,-83.970738,37.353800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299500,3.058000000000000,055-KY-0290  -000,-83.974259,37.359800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299567,4.709000000000000,055-KY-0290  -000,-83.989272,37.380000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299472,6.207000000000000,055-KY-0290  -000,-84.004472,37.396800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300356,0.008000000000000,055-KY-0577  -000,-84.045389,37.268600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300361,1.192000000000000,055-KY-0577  -000,-84.028438,37.272200
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300364,1.553000000000000,055-KY-0577  -000,-84.022210,37.272000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300351,2.149000000000000,055-KY-0577  -000,-84.012512,37.275500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300366,2.407000000000000,055-KY-0577  -000,-84.009040,37.278000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300349,2.737000000000000,055-KY-0577  -000,-84.005419,37.281500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300348,3.140000000000000,055-KY-0577  -000,-83.998169,37.282800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300369,3.145000000000000,055-KY-0577  -000,-83.998640,37.282900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300370,3.559000000000000,055-KY-0577  -000,-83.991929,37.281500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300345,3.820000000000000,055-KY-0577  -000,-83.987262,37.281600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300372,4.326000000000000,055-KY-0577  -000,-83.978520,37.282100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300377,5.213000000000000,055-KY-0577  -000,-83.963128,37.283100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300380,5.910000000000000,055-KY-0577  -000,-83.951201,37.285800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300339,5.960000000000000,055-KY-0577  -000,-83.950209,37.285000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300335,6.513000000000000,055-KY-0577  -000,-83.941941,37.288000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300325,8.875999999999999,055-KY-0577  -000,-83.905889,37.287100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300396,9.132999999999999,055-KY-0577  -000,-83.901422,37.288300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300323,9.135000000000000,055-KY-0577  -000,-83.901598,37.288400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300278,0.693000000000000,055-KY-0578  -000,-83.940660,37.260200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300293,3.201000000000000,055-KY-0578  -000,-83.953838,37.294200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300295,3.798000000000000,055-KY-0578  -000,-83.962538,37.296300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300256,3.979000000000000,055-KY-0578  -000,-83.965849,37.296400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300253,4.744000000000000,055-KY-0578  -000,-83.965151,37.307000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300301,4.820000000000000,055-KY-0578  -000,-83.964800,37.306700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300308,5.690000000000000,055-KY-0578  -000,-83.964599,37.319100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300248,5.705000000000000,055-KY-0578  -000,-83.961620,37.319900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300246,6.283000000000000,055-KY-0578  -000,-83.965688,37.327500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300241,7.197000000000000,055-KY-0578  -000,-83.977441,37.334600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299699,0.011000000000000,055-KY-0587  -000,-83.947619,37.421700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299696,0.439000000000000,055-KY-0587  -000,-83.940569,37.423500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299613,3.385000000000000,055-KY-0587  -000,-83.898140,37.427500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299656,5.470000000000000,055-KY-0587  -000,-83.892311,37.453300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299679,5.837000000000000,055-KY-0587  -000,-83.893580,37.458400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299663,7.046000000000000,055-KY-0587  -000,-83.896762,37.471900
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299665,8.305000000000000,055-KY-0587  -000,-83.892199,37.487600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299724,0.009000000000000,055-KY-1071  -000,-83.930739,37.388700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299722,2.438000000000000,055-KY-1071  -000,-83.900308,37.401600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299718,2.605000000000000,055-KY-1071  -000,-83.897784,37.400200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299717,3.661000000000000,055-KY-1071  -000,-83.883339,37.406300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300310,0.002000000000000,055-KY-1209  -000,-83.885200,37.517500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299843,0.582000000000000,055-KY-1431  -000,-83.893539,37.348200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299852,1.795000000000000,055-KY-1431  -000,-83.874479,37.353300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299856,2.112000000000000,055-KY-1431  -000,-83.870130,37.355900
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299877,2.759000000000000,055-KY-1431  -000,-83.874538,37.364200
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299836,2.928000000000000,055-KY-1431  -000,-83.877249,37.365400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299870,2.744000000000000,055-KY-1709  -000,-83.848720,37.354200
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299860,3.895000000000000,055-KY-1709  -000,-83.868591,37.355800
R1-1,Marker STOP  (Text) R1-1,CARDINAL LEFT,299144,0.111000000000000,055-KY-1912  -000,-84.198122,37.519200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299160,7.036000000000000,055-KY-1955  -000,-84.150410,37.487000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299162,7.679000000000000,055-KY-1955  -000,-84.150788,37.495300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299960,0.009000000000000,055-KY-2002  -000,-84.049940,37.288800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299956,0.197000000000000,055-KY-2002  -000,-84.053019,37.289300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299955,0.224000000000000,055-KY-2002  -000,-84.053330,37.289600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299902,2.011000000000000,055-KY-2002  -000,-84.059111,37.310300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299948,2.517000000000000,055-KY-2002  -000,-84.060459,37.317000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299907,3.011000000000000,055-KY-2002  -000,-84.058220,37.323500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299947,0.020000000000000,055-KY-2003  -000,-84.058312,37.319600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299941,2.852000000000000,055-KY-2003  -000,-84.026310,37.336400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299940,2.950000000000000,055-KY-2003  -000,-84.024750,37.335900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299937,3.624000000000000,055-KY-2003  -000,-84.019630,37.343200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299930,6.571000000000000,055-KY-2003  -000,-83.974868,37.339400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299141,0.022000000000000,055-KY-2004  -000,-84.091609,37.486100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299100,0.141000000000000,055-KY-2004  -000,-84.092372,37.487800
